Place,Time,Athlete,Country,Date of Birth,City,Event Date
891,50.19,Kendall Ellis,USA,08.03.96,Eugene,09.06.2018
891,50.19,Shamier Little,USA,20.03.95,Austin,27.03.2021
891,50.19,Cynthia Bolingo,BEL,12.01.93,Bruxelles,02.09.2022
912,50.20,Kirsten Emmelmann,GDR,19.04.61,Moskva,17.08.1985
912,50.20,Mariya Pinigina,UKR,09.02.58,Karl-Marx-Stadt,20.06.1987
912,50.20,Kirsten Emmelmann,GDR,19.04.61,Roma,31.08.1987
912,50.20,Gwen Torrence,USA,12.06.65,Villeneuve d'Ascq,08.07.1994
912,50.20,Marie-José Pérec,FRA,09.05.68,Nice,12.07.1995
912,50.20,Monique Hennagan,USA,26.05.76,Monaco,19.09.2004
912,50.20,Christine Ohuruogu,GBR,17.05.84,Stuttgart,23.09.2007
912,50.20,Anastasiya Kapachinskaya,RUS,21.11.79,Kazan,18.07.2008
912,50.20,Amantle Montsho,BOT,04.07.83,Birmingham,10.07.2011
912,50.20,Rosemarie Whyte,JAM,08.09.86,Birmingham,26.08.2012
912,50.20,Christine Ohuruogu,GBR,17.05.84,Moskva,10.08.2013
912,50.20,Phyllis Francis,USA,04.05.92,Sacramento,23.06.2017
912,50.20,Shakima Wimbley,USA,23.04.95,Des Moines,26.07.2019
912,50.20,Aliyah Abrams,GUY,03.04.97,Freeport,13.05.2023
926,50.21,Valerie Brisco,USA,06.07.60,Bruxelles,24.08.1984
926,50.21,Valerie Brisco,USA,06.07.60,Roma,10.09.1986
926,50.21,Grit Breuer,GER,16.02.72,Rostock,23.06.1990
926,50.21,Grit Breuer,GER,16.02.72,Neubrandenburg,21.06.1991
926,50.21,Cathy Freeman,AUS,16.02.73,Bruxelles,25.08.1995
926,50.21,Cathy Freeman,AUS,16.02.73,Brisbane,14.03.1996
926,50.21,Jearl Miles-Clark,USA,04.09.66,Atlanta,28.07.1996
926,50.21,Jearl Miles-Clark,USA,04.09.66,Lausanne,02.07.1997
926,50.21,Sandie Richards,JAM,06.11.68,Athínai,03.08.1997
926,50.21,Grit Breuer,GER,16.02.72,Monaco,08.08.1998
926,50.21,Helena Fuchsová,CZE,03.06.65,Budapest,21.08.1998
926,50.21,Katharine Merry,GBR,21.09.74,Sevilla,24.08.1999
926,50.21,Olga Kotlyarova,RUS,12.04.76,Tula,23.07.2000
926,50.21,Ana Guevara,MEX,04.03.77,Monaco,18.08.2000
926,50.21,Ana Guevara,MEX,04.03.77,Bruxelles,25.08.2000
926,50.21,Donna Fraser,GBR,07.11.72,Sydney,24.09.2000
926,50.21,Lorraine Fenton,JAM,08.09.73,Ad-Dawhah,05.10.2000
926,50.21,Ami Mbacké Thiam,SEN,10.11.76,Edmonton,06.08.2001
926,50.21,Natalya Antyukh,RUS,26.06.81,Gateshead,27.06.2004
926,50.21,Novlene Williams-Mills,JAM,26.04.82,Osaka,26.08.2007
926,50.21,Novlene Williams-Mills,JAM,26.04.82,Kingston,28.06.2009
926,50.21,Sanya Richards-Ross,USA,26.02.85,Berlin,16.08.2009
926,50.21,Christine Ohuruogu,GBR,17.05.84,Berlin,18.08.2009
926,50.21,Debbie Dunn,USA,26.03.78,Split,04.09.2010
926,50.21,Sanya Richards-Ross,USA,26.02.85,Zürich,30.08.2012
926,50.21,Francena McCorory,USA,20.10.88,Ad-Dawhah,15.05.2015
926,50.21,Shakima Wimbley,USA,23.04.95,Des Moines,27.07.2019
926,50.21,Stacey-Ann Williams,JAM,08.03.99,Lubbock,15.05.2022
926,50.21,Natalia Kaczmarek,POL,17.01.98,Eugene,17.07.2022
955,50.22,Marita Koch,GDR,18.02.57,Athínai,07.09.1982
955,50.22,Olga Bryzgina,UKR,30.06.63,Tokyo,14.09.1984
955,50.22,Kirsten Emmelmann,GDR,19.04.61,Leipzig,11.08.1985
955,50.22,Rochelle Stevens,USA,08.09.66,New Orleans,24.06.1992
955,50.22,Ximena Restrepo,COL,10.03.69,Köln,16.08.1992
955,50.22,Olga Bryzgina,UKR,30.06.63,Torino,04.09.1992
955,50.22,Olga Bryzgina,UKR,30.06.63,Rieti,06.09.1992
955,50.22,Grit Breuer,GER,16.02.72,Madrid,01.06.1996
955,50.22,Falilat Ogunkoya,NGR,05.12.68,Yokohama,09.09.2000
955,50.22,Sanya Richards-Ross,USA,26.02.85,Sacramento,12.07.2004
955,50.22,Dee Dee Trotter,USA,08.12.82,Bruxelles,03.09.2004
955,50.22,Tatyana Veshkurova,RUS,23.09.81,Tula,02.08.2007
955,50.22,Christine Ohuruogu,GBR,17.05.84,London,04.08.2012
955,50.22,Kabange Mupopo,ZAM,21.09.92,Brazzaville,15.09.2015
955,50.22,Phyllis Francis,USA,04.05.92,Ad-Dawhah,01.10.2019
955,50.22,Talitha Diggs,USA,22.08.02,Eugene,25.06.2022
955,50.22,Candice McLeod,JAM,15.11.96,Chorzów,06.08.2022
972,50.23,Olga Bryzgina,UKR,30.06.63,Stuttgart,27.08.1986
972,50.23,Ana Fidelia Quirot,CUB,23.03.63,Köln,21.08.1988
972,50.23,Cathy Freeman,AUS,16.02.73,Lausanne,06.07.1994
972,50.23,Lorraine Fenton,JAM,08.09.73,Stuttgart,19.07.1998
972,50.23,Jearl Miles-Clark,USA,04.09.66,Sacramento,16.07.2000
972,50.23,Charity Opara,NGR,20.05.72,Lagos,22.07.2000
972,50.23,Svetlana Goncharenko,RUS,26.05.71,Tula,23.07.2000
972,50.23,Dee Dee Trotter,USA,08.12.82,Zürich,06.08.2004
972,50.23,Christiane Amertil,BAH,18.08.79,Athínai,21.08.2004
972,50.23,Natasha Hastings,USA,23.07.86,Gainesville,26.05.2007
972,50.23,Amantle Montsho,BOT,04.07.83,Lausanne,30.06.2011
972,50.23,Courtney Okolo,USA,15.03.94,Eugene,13.06.2014
972,50.23,Francena McCorory,USA,20.10.88,Eugene,28.05.2016
985,50.24,Diane Dixon,USA,23.09.64,Oslo,05.07.1986
985,50.24,Maree Holland,AUS,25.07.63,Seoul,25.09.1988
985,50.24,Maicel Malone,USA,12.06.69,Knoxville,17.06.1994
985,50.24,Charity Opara,NGR,20.05.72,Bruxelles,28.08.1998
985,50.24,Falilat Ogunkoya,NGR,05.12.68,Lagos,22.07.2000
985,50.24,Tonique Williams-Darling,BAH,17.01.76,Zürich,15.08.2003
985,50.24,Monique Hennagan,USA,26.05.76,Zürich,19.08.2005
985,50.24,Shericka Williams,JAM,17.09.85,Gateshead,11.06.2006
985,50.24,Novlene Williams-Mills,JAM,26.04.82,Kingston,25.06.2006
985,50.24,Novlene Williams-Mills,JAM,26.04.82,London,28.07.2006
985,50.24,Novlene Williams-Mills,JAM,26.04.82,Athínai,16.09.2006
985,50.24,Mary Wineberg,USA,03.01.80,Indianapolis,23.06.2007
985,50.24,Antonina Krivoshapka,RUS,21.07.87,Moskva,01.07.2009
985,50.24,Francena McCorory,USA,20.10.88,Daegu,28.08.2011
985,50.24,Natasha Hastings,USA,23.07.86,New York City,25.05.2013
985,50.24,Francena McCorory,USA,20.10.88,Kingston,03.05.2014
985,50.24,Natasha Hastings,USA,23.07.86,London,24.07.2015
985,50.24,Kendall Ellis,USA,08.03.96,Sacramento,23.06.2017
985,50.24,Aminatou Seyni,NIG,24.10.96,Rabat,16.06.2019
985,50.24,Salwa Eid Naser,BRN,23.05.98,Zürich,29.08.2019
985,50.24,Wadeline Jonathas,USA,19.02.98,Eugene,19.06.2021
985,50.24,Sada Williams,BAR,01.12.97,Zürich,09.09.2021
985,50.24,Natalia Kaczmarek,POL,17.01.98,Paris,18.06.2022
985,50.24,Lieke Klaver,NED,20.08.98,Eugene,17.07.2022
1009,50.25,Dagmar Neubauer,GER,03.06.62,Potsdam,05.05.1984
1009,50.25,Lillie Leatherwood,USA,06.07.64,Los Angeles,06.08.1984
1009,50.25,Irina Nazarova,RUS,31.07.57,Leningrad,03.08.1985
1009,50.25,Olga Nazarova II,RUS,01.06.65,Sochi,31.05.1988
1009,50.25,Daniela Georgieva,BUL,22.09.69,Sofia,20.05.1995
1009,50.25,Pauline Davis-Thompson,BAH,09.07.66,Köln,16.08.1996
1009,50.25,Grit Breuer,GER,16.02.72,Berlin,01.09.1998
1009,50.25A,Ana Guevara,MEX,04.03.77,Roodepoort,16.03.2001
1009,50.25,Tonique Williams-Darling,BAH,17.01.76,Shanghai,17.09.2005
1009,50.25,Allyson Felix,USA,18.11.85,Roma,11.07.2008
1009,50.25,Tatyana Firova,RUS,10.10.82,Kazan,18.07.2008
1009,50.25,Natasha Hastings,USA,23.07.86,Eugene,27.06.2015
1009,50.25,Taylor Ellis-Watson,USA,06.05.93,Eugene,03.07.2016
1009,50.25,Marileidy Paulino,DOM,25.10.96,Andújar,22.05.2021
1009,50.25,Stephenie Ann McPherson,JAM,25.11.88,Zürich,09.09.2021
1024,50.26,Brigitte Rohde,GDR,08.10.54,Split,01.05.1976
1024,50.26,Christina Lathan,GDR,28.02.58,Potsdam,19.08.1978
1024,50.26,Sabine Busch,GER,21.11.62,Karl-Marx-Stadt,18.06.1983
1024,50.26,Petra Schersing,GER,18.07.65,Rostock,24.06.1988
1024,50.26,Olga Nazarova II,RUS,01.06.65,Seoul,24.09.1988
1024,50.26,Olga Bryzgina,UKR,30.06.63,Tokyo,26.08.1991
1024,50.26,Sandie Richards,JAM,06.11.68,Köln,16.08.1992
1024,50.26A,Falilat Ogunkoya,NGR,05.12.68,Roodepoort,16.03.1998
1024,50.26,Lorraine Fenton,JAM,08.09.73,Zürich,12.08.1998
1024,50.26,Sanya Richards-Ross,USA,26.02.85,Oslo,15.06.2007
1024,50.26,Yuliya Gushchina,RUS,04.03.83,Sochi,26.05.2012
1024,50.26,Novlene Williams-Mills,JAM,26.04.82,Georgetown,07.05.2014
1024,50.26,Salwa Eid Naser,BRN,23.05.98,Roma,06.06.2019
1037,50.27,Ana Fidelia Quirot,CUB,23.03.63,La Habana,22.05.1987
1037,50.27,Ana Fidelia Quirot,CUB,23.03.63,Indianapolis,13.08.1987
1037,50.27,Ana Fidelia Quirot,CUB,23.03.63,Berlin,26.08.1988
1037,50.27,Ana Fidelia Quirot,CUB,23.03.63,Rieti,09.09.1990
1037,50.27,Charity Opara,NGR,20.05.72,Stuttgart,13.07.1997
1037,50.27,Falilat Ogunkoya,NGR,05.12.68,Athínai,04.08.1997
1037,50.27A,Falilat Ogunkoya,NGR,05.12.68,Johannesburg,27.03.1998
1037,50.27,Jearl Miles-Clark,USA,04.09.66,Madrid,20.09.2002
1037,50.27,Mary Wineberg,USA,03.01.80,Osaka,27.08.2007
1037,50.27,Sanya Richards-Ross,USA,26.02.85,Yokohama,30.09.2007
1037,50.27,Lyudmila Litvinova,RUS,08.06.85,Cheboksary,24.07.2009
1037,50.27,Allyson Felix,USA,18.11.85,Eugene,03.07.2010
1037,50.27,Francena McCorory,USA,20.10.88,Saint-Denis,06.07.2012
1037,50.27,Sanya Richards-Ross,USA,26.02.85,Stockholm,21.08.2014
1037,50.27,Salwa Eid Naser,BRN,23.05.98,Westwood,27.05.2023
1052,50.28,Christina Lathan,GDR,28.02.58,Dresden,08.05.1976
1052,50.28,Liliya Novoseltsova,RUS,05.09.62,Moskva,20.07.1984
1052,50.28,Sabine Busch,GER,21.11.62,Nice,20.08.1984
1052,50.28,Ute Thimm,FRG,10.07.58,Seoul,25.09.1988
1052,50.28,Lillie Leatherwood,USA,06.07.64,Berlin,23.06.1991
1052,50.28,Katharine Merry,GBR,21.09.74,Nürnberg,25.06.2000
1052,50.28,Lorraine Fenton,JAM,08.09.73,Sydney,24.09.2000
1052,50.28,Tonique Williams-Darling,BAH,17.01.76,Ostrava,08.06.2004
1052,50.28,Dee Dee Trotter,USA,08.12.82,Sacramento,17.07.2004
1052,50.28,Natalya Antyukh,RUS,26.06.81,Tula,29.07.2004
1052,50.28,Christine Ohuruogu,GBR,17.05.84,Melbourne,21.03.2006
1052,50.28A,Tonique Williams-Darling,BAH,17.01.76,Xalapa,13.05.2006
1052,50.28,Olga Zaytseva,RUS,10.11.84,Göteborg,10.08.2006
1052,50.28,Shericka Williams,JAM,17.09.85,Beijing,17.08.2008
1052,50.28,Ashley Spencer,USA,06.06.93,Eugene,07.06.2013
1052,50.28,Stephenie Ann McPherson,JAM,25.11.88,Kingston,23.06.2013
1052,50.28,Natasha Hastings,USA,23.07.86,Eugene,26.06.2015
1052,50.28,Francena McCorory,USA,20.10.88,Eugene,02.07.2016
1052,50.28,Lynna Irby-Jackson,USA,06.12.98,Eugene,24.04.2021
1052,50.28,Anna Kielbasinska,POL,26.06.90,Paris,18.06.2022
1072,50.29,Marita Koch,GDR,18.02.57,Praha,16.08.1984
1072,50.29,Diane Dixon,USA,23.09.64,Berlin,23.08.1985
1072,50.29,Mariya Pinigina,UKR,09.02.58,Moskva,09.07.1986
1072,50.29,Lillie Leatherwood,USA,06.07.64,Zürich,13.08.1986
1072,50.29,Valerie Brisco,USA,06.07.60,Bruxelles,05.09.1986
1072,50.29,Marita Payne,CAN,07.10.60,Seoul,25.09.1988
1072,50.29,Olga Nazarova II,RUS,01.06.65,Moskva,24.06.1992
1072,50.29,Michelle Collins,USA,12.02.71,Sacramento,16.07.2000
1072,50.29,Lorraine Fenton,JAM,08.09.73,Monaco,14.09.2003
1072,50.29,Novlene Williams-Mills,JAM,26.04.82,Saint-Denis,06.07.2007
1072,50.29,Francena McCorory,USA,20.10.88,Monaco,22.07.2011
1072,50.29,Sanya Richards-Ross,USA,26.02.85,Eugene,30.05.2015
1072,50.29,Christine Day,JAM,23.08.86,Kingston,03.07.2016
1072,50.29,Courtney Okolo,USA,15.03.94,London,09.07.2017
1072,50.29,Kaylin Whitney,USA,09.03.98,Eugene,20.06.2021
1072,50.29,Cynthia Bolingo,BEL,12.01.93,Tomblaine,05.07.2021
1072,50.29,Stacey-Ann Williams,JAM,08.03.99,Lubbock,14.05.2022
1072,50.29,Candice McLeod,JAM,15.11.96,Kingston,26.06.2022
1072,50.29,Anna Kielbasinska,POL,26.06.90,München,17.08.2022
1091,50.30,Kirsten Emmelmann,GDR,19.04.61,Potsdam,21.08.1987
1091,50.30,Diane Dixon,USA,23.09.64,New York City,15.06.1991
1091,50.30,Jearl Miles-Clark,USA,04.09.66,New Orleans,24.06.1992
1091,50.30,Sandie Richards,JAM,06.11.68,Monaco,08.08.1998
1091,50.30,Olga Kotlyarova,RUS,12.04.76,Lausanne,05.07.2000
1091,50.30,Olabisi Afolabi,NGR,31.10.75,Lagos,22.07.2000
1091,50.30,Lorraine Fenton,JAM,08.09.73,Poznan,29.06.2003
1091,50.30,Christiane Amertil,BAH,18.08.79,Gateshead,27.06.2004
1091,50.30,Svetlana Pospelyova,RUS,11.03.69,Kazan,25.06.2005
1091,50.30,Libania Grenot,ITA,12.07.83,Pescara,02.07.2009
1091,50.30,Amantle Montsho,BOT,04.07.83,Eugene,03.07.2010
1091,50.30,Natasha Hastings,USA,23.07.86,Moskva,12.08.2013
1091,50.30,Francena McCorory,USA,20.10.88,Paris,13.09.2015
1091,50.30,Chrisann Gordon,JAM,18.09.94,Kingston,24.06.2017
1091,50.30,Kendall Ellis,USA,08.03.96,Irvine,14.05.2021
1091,50.30,Sada Williams,BAR,01.12.97,Paris,28.08.2021
1107,50.31,Petra Schersing,GER,18.07.65,Neubrandenburg,07.06.1986
1107,50.31,Valerie Brisco,USA,06.07.60,Berlin,15.08.1986
1107,50.31,Petra Schersing,GER,18.07.65,Köln,19.08.1990
1107,50.31,Ana Fidelia Quirot,CUB,23.03.63,Athínai,07.09.1990
1107,50.31,Gwen Torrence,USA,12.06.65,London,10.07.1992
1107,50.31,Olga Nazarova II,RUS,01.06.65,Barcelona,03.08.1992
1107,50.31A,Falilat Ogunkoya,NGR,05.12.68,Harare,15.09.1995
1107,50.31,Falilat Ogunkoya,NGR,05.12.68,Berlin,30.08.1996
1107,50.31,Jearl Miles-Clark,USA,04.09.66,Milano,07.09.1996
1107,50.31,Cathy Freeman,AUS,16.02.73,Melbourne,02.03.2000
1107,50.31,Cathy Freeman,AUS,16.02.73,Sydney,23.09.2000
1107,50.31,Monique Hennagan,USA,26.05.76,Sacramento,12.07.2004
1107,50.31,Ilona Usovich,BLR,14.11.82,Osaka,27.08.2007
1107,50.31,Dee Dee Trotter,USA,08.12.82,Osaka,27.08.2007
1107,50.31,Shericka Williams,JAM,17.09.85,Roma,10.07.2009
1107,50.31,Shericka Williams,JAM,17.09.85,Eugene,03.07.2010
1107,50.31,Novlene Williams-Mills,JAM,26.04.82,Zagreb,13.09.2011
1107,50.31,Novlene Williams-Mills,JAM,26.04.82,Shanghai,18.05.2014
1107,50.31,Shericka Jackson,JAM,16.07.94,Kingston,28.06.2015
1107,50.31,Stephenie Ann McPherson,JAM,25.11.88,Kingston,02.07.2016
1107,50.31,Allyson Felix,USA,18.11.85,Eugene,02.07.2016
1107,50.31,Phyllis Francis,USA,04.05.92,Rio de Janeiro,15.08.2016
1107,50.31,Stephenie Ann McPherson,JAM,25.11.88,London,22.07.2018
1107,50.31,Marileidy Paulino,DOM,25.10.96,Santo Domingo,27.03.2021
1107,50.31,Anna Kielbasinska,POL,26.06.90,La Chaux-de-Fonds,03.07.2022
1107,50.31,Stephenie Ann McPherson,JAM,25.11.88,Chorzów,06.08.2022
1133,50.32,Irena Szewinska,POL,24.05.46,London,13.09.1974
1133,50.32,Sabine Busch,GER,21.11.62,Dresden,27.07.1984
1133,50.32,Chandra Cheeseborough,USA,10.01.59,Los Angeles,05.08.1984
1133,50.32,Olga Bryzgina,UKR,30.06.63,Oslo,16.07.1985
1133,50.32A,Renee Poetschka,AUS,01.05.71,Johannesburg,14.04.1996
1133,50.32,Cathy Freeman,AUS,16.02.73,Atlanta,28.07.1996
1133,50.32,Grit Breuer,GER,16.02.72,Berlin,26.08.1997
1133,50.32,Ionela Târlea,ROU,09.02.76,Roma,14.07.1998
1133,50.32,Cathy Freeman,AUS,16.02.73,London,07.08.1999
1133,50.32,Olga Kotlyarova,RUS,12.04.76,Sevilla,24.08.1999
1133,50.32,Marie-José Pérec,FRA,09.05.68,Nice,08.07.2000
1133,50.32,Katharine Merry,GBR,21.09.74,Sydney,24.09.2000
1133,50.32,Grit Breuer,GER,16.02.72,Edmonton,06.08.2001
1133,50.32,Ana Guevara,MEX,04.03.77,Brisbane,04.09.2001
1133,50.32,Dee Dee Trotter,USA,08.12.82,Austin,12.06.2004
1133,50.32,Christiane Amertil,BAH,18.08.79,Saint-Denis,01.07.2005
1133,50.32,Tonique Williams-Darling,BAH,17.01.76,Rieti,27.08.2006
1133,50.32,Mary Wineberg,USA,03.01.80,Eugene,08.06.2008
1133,50.32,Novlene Williams-Mills,JAM,26.04.82,Kingston,01.05.2010
1133,50.32,Stephenie Ann McPherson,JAM,25.11.88,Beijing,25.08.2015
1133,50.32A,Lydia Jele,BOT,22.06.90,Pretoria,25.03.2017
1133,50.32,Salwa Eid Naser,BRN,23.05.98,Miami,29.05.2023
1133,50.32,Lieke Klaver,NED,20.08.98,Paris,09.06.2023
1156,50.33,Lyudmila Dzhigalova,UKR,22.01.62,Kyiv,06.07.1990
1156,50.33,Ana Fidelia Quirot,CUB,23.03.63,Shizuoka,15.09.1990
1156,50.33,Maicel Malone,USA,12.06.69,Rhede,07.07.1991
1156,50.33,Marie-José Pérec,FRA,09.05.68,Helsinki,11.08.1994
1156,50.33,Maicel Malone,USA,12.06.69,Paris,03.09.1994
1156,50.33,Sandra Myers,ESP,04.01.61,Madrid,06.09.1994
1156,50.33,Pauline Davis-Thompson,BAH,09.07.66,Roma,05.06.1996
1156,50.33,Grit Breuer,GER,16.02.72,Athínai,03.08.1997
1156,50.33,Lorraine Fenton,JAM,08.09.73,Roma,14.07.1998
1156,50.33,Uta Rohländer-Fromm,GER,30.06.69,Stuttgart,19.07.1998
1156,50.33A,Sandie Richards,JAM,06.11.68,Johannesburg,13.09.1998
1156,50.33,Ana Guevara,MEX,04.03.77,Helsinki,08.08.2005
1156,50.33,Natalya Antyukh,RUS,26.06.81,Osaka,29.08.2007
1156,50.33,Ami Mbacké Thiam,SEN,10.11.76,Stuttgart,23.09.2007
1156,50.33,Shericka Williams,JAM,17.09.85,Kingston,29.06.2008
1156,50.33,Novlene Williams-Mills,JAM,26.04.82,Lausanne,02.09.2008
1156,50.33,Antonina Krivoshapka,RUS,21.07.87,Cheboksary,23.07.2009
1156,50.33,Kseniya Aksyonova,RUS,14.01.88,Saransk,13.07.2010
1156,50.33,Allyson Felix,USA,18.11.85,Ad-Dawhah,06.05.2011
1156,50.33,Francena McCorory,USA,20.10.88,London,05.08.2012
1156,50.33,Amantle Montsho,BOT,04.07.83,Zürich,30.08.2012
1156,50.33,Stephenie Ann McPherson,JAM,25.11.88,Saint-Denis,27.08.2016
1156,50.33,Lieke Klaver,NED,20.08.98,Eugene,22.07.2022
1156,50.33,Jermaisha Arnold,USA,05.02.02,Sacramento,27.05.2023
1180,50.34,Doris Maletzki,GDR,11.06.52,Berlin,10.07.1976
1180,50.34,Liliya Novoseltsova,RUS,05.09.62,Kyiv,22.06.1984
1180,50.34,Kirsten Emmelmann,GDR,19.04.61,Karl-Marx-Stadt,20.06.1987
1180,50.34,Ana Fidelia Quirot,CUB,23.03.63,Seattle,22.07.1990
1180,50.34,Olga Nazarova II,RUS,01.06.65,Duisburg,07.06.1992
1180,50.34,Cathy Freeman,AUS,16.02.73,Monaco,25.07.1995
1180,50.34,Lorraine Fenton,JAM,08.09.73,Monaco,04.08.1999
1180,50.34A,Olabisi Afolabi,NGR,31.10.75,Johannesburg,16.09.1999
1180,50.34,Sanya Richards-Ross,USA,26.02.85,Sacramento,15.07.2004
1180,50.34,Svetlana Pospelova,RUS,24.12.79,Helsinki,08.08.2005
1180,50.34,Natasha Hastings,USA,23.07.86,Roma,13.07.2007
1180,50.34,Ana Guevara,MEX,04.03.77,Rio de Janeiro,25.07.2007
1180,50.34,Nicola Sanders,GBR,23.06.82,Bruxelles,14.09.2007
1180,50.34,Shericka Williams,JAM,17.09.85,Eugene,08.06.2008
1180,50.34,Novlene Williams-Mills,JAM,26.04.82,Thessaloníki,13.09.2009
1180,50.34,Amantle Montsho,BOT,04.07.83,Ad-Dawhah,14.05.2010
1180,50.34,Amantle Montsho,BOT,04.07.83,Oslo,04.06.2010
1180,50.34,Shericka Williams,JAM,17.09.85,Budapest,20.08.2012
1180,50.34,Novlene Williams-Mills,JAM,26.04.82,Moskva,11.08.2013
1180,50.34,Stephenie Ann McPherson,JAM,25.11.88,Beijing,24.08.2015
1180,50.34,Natasha Hastings,USA,23.07.86,Rio de Janeiro,15.08.2016
1180,50.34,Stacey-Ann Williams,JAM,08.03.99,College Station,29.05.2021
1180,50.34,Roneisha McGregor,JAM,09.10.97,Tokyo,04.08.2021
1203,50.35A,Mariya Pinigina,UKR,09.02.58,Ciudad de México,10.09.1979
1203,50.35,Bärbel Wöckel,GDR,21.03.55,Jena,13.05.1984
1203,50.35,Jillian Richardson,CAN,10.03.65,Indianapolis,13.08.1987
1203,50.35,Sandie Richards,JAM,06.11.68,Barcelona,03.08.1992
1203,50.35,Jearl Miles-Clark,USA,04.09.66,Paris,28.06.1996
1203,50.35,Cathy Freeman,AUS,16.02.73,Luzern,02.07.1998
1203,50.35,Ana Guevara,MEX,04.03.77,Leverkusen,26.08.2001
1203,50.35,Sanya Richards-Ross,USA,26.02.85,London,22.07.2005
1203,50.35,Christine Ohuruogu,GBR,17.05.84,Berlin,16.08.2009
1203,50.35,Debbie Dunn,USA,26.03.78,Berlin,18.08.2009
1203,50.35,Amantle Montsho,BOT,04.07.83,Abidjan,17.04.2010
1203,50.35,Novlene Williams-Mills,JAM,26.04.82,Georgetown,09.05.2012
1203,50.35,Kaylin Whitney,USA,09.03.98,Eugene,19.06.2021
1203,50.35,Lynna Irby-Jackson,USA,06.12.98,Eugene,20.06.2021
1203,50.35,Kendall Ellis,USA,08.03.96,Eugene,25.06.2022
1203,50.35,Makenzie Dunmore,USA,07.10.97,Baton Rouge,22.04.2023
1219,50.36,Christina Lathan,GDR,28.02.58,Potsdam,13.07.1980
1219,50.36,Petra Schersing,GER,18.07.65,Erfurt,22.06.1985
1219,50.36,Helga Arendt,GER,24.04.64,Seoul,25.09.1988
1219,50.36,Charity Opara,NGR,20.05.72,Sevilla,06.06.1992
1219,50.36,Fatima Yusuf,NGR,02.05.71,Atlanta,28.07.1996
1219,50.36,Helena Fuchsová,CZE,03.06.65,Athínai,02.08.1997
1219,50.36,Marion Jones,USA,12.10.75,Walnut,19.04.1998
1219,50.36,Oleysa Zykina,RUS,07.10.80,Tula,23.07.2000
1219,50.36,Heidi Seyerling,RSA,19.08.76,Athínai,11.06.2001
1219,50.36,Ana Guevara,MEX,04.03.77,Santo Domingo,08.08.2003
1219,50.36,Novlene Williams-Mills,JAM,26.04.82,Stuttgart,10.09.2006
1219,50.36,Allyson Felix,USA,18.11.85,Daegu,28.08.2011
1219,50.36,Francena McCorory,USA,20.10.88,Lausanne,04.07.2013
1219,50.36,Natasha Hastings,USA,23.07.86,Bruxelles,06.09.2013
1219,50.36,Francena McCorory,USA,20.10.88,Roma,04.06.2015
1219,50.36,Courtney Okolo,USA,15.03.94,Eugene,11.06.2016
1219,50.36,Shakima Wimbley,USA,23.04.95,Sacramento,24.06.2017
1219,50.36,Shaunae Miller-Uibo,BAH,15.04.94,London,07.08.2017
1219,50.36,Stephenie Ann McPherson,JAM,25.11.88,Eugene,22.07.2022
1219,50.36,Stephenie Ann McPherson,JAM,25.11.88,Nassau,20.08.2022
1239,50.37,Ute Thimm,FRG,10.07.58,Los Angeles,06.08.1984
1239,50.37,Mariya Pinigina,UKR,09.02.58,Kyiv,31.07.1988
1239,50.37,Mariya Pinigina,UKR,09.02.58,Vilnius,28.08.1988
1239,50.37,Mariya Pinigina,UKR,09.02.58,Vilnius,28.08.1988
1239,50.37,Ana Fidelia Quirot,CUB,23.03.63,Sevilla,30.05.1990
1239,50.37,Rochelle Stevens,USA,08.09.66,Barcelona,03.08.1992
1239,50.37,Gwen Torrence,USA,12.06.65,Indianapolis,25.06.1993
1239,50.37,Ximena Restrepo,COL,10.03.69,Salamanca,27.07.1993
1239,50.37,Jearl Miles-Clark,USA,04.09.66,Paris,03.09.1994
1239,50.37,Grit Breuer,GER,16.02.72,Dortmund,26.06.1999
1239,50.37,Michelle Collins,USA,12.02.71,Sacramento,15.07.2000
1239,50.37,Jearl Miles-Clark,USA,04.09.66,Monaco,19.07.2002
1239,50.37,Christiane Amertil,BAH,18.08.79,Athínai,24.08.2004
1239,50.37,Novlene Williams-Mills,JAM,26.04.82,Thessaloníki,24.07.2006
1239,50.37,Vania Stambolova,BUL,28.11.83,Zagreb,31.08.2006
1239,50.37,Shericka Williams,JAM,17.09.85,Osaka,27.08.2007
1239,50.37,Allyson Felix,USA,18.11.85,Zürich,19.08.2010
1239,50.37,Francena McCorory,USA,20.10.88,Eugene,01.06.2013
1239,50.37,Amantle Montsho,BOT,04.07.83,Lausanne,04.07.2013
1239,50.37,Amantle Montsho,BOT,04.07.83,Shanghai,18.05.2014
1239,50.37,Bianca Razor,ROU,08.08.94,Beijing,24.08.2015
1239,50.37,Courtney Okolo,USA,15.03.94,Eugene,02.07.2016
1239,50.37,Francena McCorory,USA,20.10.88,Eugene,03.07.2016
1239,50.37,Phyllis Francis,USA,04.05.92,London,07.08.2017
1239,50.37,Kendall Ellis,USA,08.03.96,Des Moines,23.06.2018
1239,50.37,Femke Bol,NED,23.02.00,Cluj Napoca,19.06.2021
1265,50.38,Christina Lathan,GDR,28.02.58,Praha,31.08.1978
1265,50.38,Jarmila Kratochvílová,CZE,26.01.51,Athínai,07.09.1982
1265,50.38,Dagmar Neubauer,GER,03.06.62,Berlin,23.08.1985
