Place,Time,Wind,Athlete,Country,Date of Birth,City,Event Date
310,22.12,±0.0,Christine Mboma,NAM,22.05.03,Birmingham AL,02.04.2022
310,22.12,+0.6,Aminatou Seyni,NIG,24.10.96,Eugene,21.07.2022
327,22.13,+0.9,Kathy Cook,GBR,03.05.60,Athínai,09.09.1982
327,22.13,+0.3,Marita Koch,GDR,18.02.57,Bratislava,04.06.1983
327,22.13,+1.5,Marita Koch,GDR,18.02.57,Helsinki,14.08.1983
327,22.13,-2.0,Marita Koch,GDR,18.02.57,Karl-Marx-Stadt,20.05.1984
327,22.13,+1.3,Heike Drechsler,GER,16.12.64,Tallinn,22.06.1986
327,22.13,+1.2,Ewa Kasprzyk,POL,07.09.57,Moskva,08.07.1986
327,22.13,+1.8,Grace Jackson,JAM,14.06.61,Seoul,29.09.1988
327,22.13,+1.1,Katrin Krabbe,GER,22.11.69,Lausanne,12.07.1990
327,22.13,+0.4,Irina Privalova,RUS,12.11.68,Köln,16.08.1992
327,22.13,±0.0,Irina Privalova,RUS,12.11.68,Stuttgart,19.08.1993
327,22.13,±0.0,Merlene Ottey,JAM,10.05.60,Monaco,25.07.1995
327,22.13,+1.1,Veronica Campbell-Brown,JAM,16.05.82,Athínai,24.08.2004
327,22.13,+0.3,Allyson Felix,USA,18.11.85,Carson,26.06.2005
327,22.13,+1.0,Shelly-Ann Fraser-Pryce,JAM,27.12.86,Kingston,23.06.2013
327,22.13,-0.1,Elaine Thompson-Herah,JAM,28.06.92,Beijing,27.08.2015
327,22.13,-0.8,Dafne Schippers,NED,15.06.92,London,23.07.2016
327,22.13,+0.8,Tori Bowie,USA,27.08.90,Rio de Janeiro,16.08.2016
327,22.13,+0.1,Elaine Thompson-Herah,JAM,28.06.92,Rio de Janeiro,16.08.2016
327,22.13,+0.1,Dafne Schippers,NED,15.06.92,Saint-Denis,27.08.2016
327,22.13,+1.1,Elaine Thompson-Herah,JAM,28.06.92,London,20.07.2019
327,22.13,+0.5,Tamara Clark,USA,09.01.99,Jacksonville,29.05.2021
327,22.13,+0.3,Shelly-Ann Fraser-Pryce,JAM,27.12.86,Tokyo,02.08.2021
327,22.13,-0.2,Favour Ofili,NGR,31.12.02,Eugene,09.06.2022
350,22.14,+1.5,Valerie Brisco,USA,06.07.60,Bruxelles,24.08.1984
350,22.14,+0.9,Irina Privalova,RUS,12.11.68,Moskva,24.06.1992
350,22.14,-0.6,Carlette Guidry,USA,04.09.68,Atlanta,23.06.1996
350,22.14,+1.2,Allyson Felix,USA,18.11.85,Carson,22.05.2005
350,22.14,+1.8,Sherone Simpson,JAM,12.08.84,Kingston,06.05.2006
350,22.14,±0.0,Allyson Felix,USA,18.11.85,Saint-Denis,16.07.2010
350,22.14,-0.2,Carmelita Jeter,USA,24.11.79,London,08.08.2012
350,22.14,+0.2,Shaunae Miller-Uibo,BAH,15.04.94,Kingston,09.05.2015
350,22.14,+0.2,Dafne Schippers,NED,15.06.92,Berlin,11.08.2018
350,22.14,+1.9,Jenna Prandini,USA,20.11.92,Eugene,24.06.2021
350,22.14,+0.1,Shaunae Miller-Uibo,BAH,15.04.94,Tokyo,02.08.2021
350,22.14,+0.1,Abby Steiner,USA,24.11.99,Eugene,25.06.2022
350,22.14,±0.0,Shelly-Ann Fraser-Pryce,JAM,27.12.86,Kingston,26.06.2022
363,22.15,+0.4,Bärbel Wöckel,GDR,21.03.55,Praha,17.08.1984
363,22.15,+1.4,Florence Griffith-Joyner,USA,21.12.59,Santa Monica,12.06.1988
363,22.15,+1.7,Silke Möller,GER,20.06.64,Seoul,29.09.1988
363,22.15A,-2.4,Merlene Ottey,JAM,10.05.60,Sestriere,31.07.1991
363,22.15A,+0.2,Juliet Cuthbert,JAM,09.04.64,San José,30.05.1992
363,22.15,-1.0,Irina Privalova,RUS,12.11.68,Zürich,17.08.1994
363,22.15,+0.4,Gwen Torrence,USA,12.06.65,Berlin,30.08.1994
363,22.15,-0.5,Marion Jones,USA,12.10.75,Monaco,04.08.1999
363,22.15,+1.1,Shelly-Ann Fraser-Pryce,JAM,27.12.86,Kingston,29.06.2008
363,22.15,+1.0,Shalonda Solomon,USA,19.12.85,Eugene,26.06.2011
363,22.15,+0.6,Sanya Richards-Ross,USA,26.02.85,Eugene,29.06.2012
363,22.15,-0.1,Tori Bowie,USA,27.08.90,Rio de Janeiro,17.08.2016
363,22.15,+0.8,Shaunae Miller-Uibo,BAH,15.04.94,London,11.08.2017
363,22.15,+0.4,Shaunae Miller-Uibo,BAH,15.04.94,Birmingham,18.08.2018
363,22.15,-0.3,Shaunae Miller-Uibo,BAH,15.04.94,Székesfehérvár,06.07.2021
363,22.15,-0.1,Abby Steiner,USA,24.11.99,Eugene,19.07.2022
363,22.15,+0.8,Anthonique Strachan,BAH,22.08.93,Rabat,28.05.2023
380,22.16,+0.6,Bärbel Wöckel,GDR,21.03.55,Koblenz,25.08.1982
380,22.16,-0.2,Valerie Brisco,USA,06.07.60,Los Angeles,22.06.1984
380,22.16,+0.1,Merlene Ottey,JAM,10.05.60,Los Angeles,08.06.1985
380,22.16,-0.5,Merlene Ottey,JAM,10.05.60,Budapest,05.08.1990
380,22.16,-2.4,Gwen Torrence,USA,12.06.65,Tokyo,30.08.1991
380,22.16,-1.0,Gwen Torrence,USA,12.06.65,Zürich,17.08.1994
380,22.16,+0.4,Mary Onyali,NGR,03.02.68,Atlanta,01.08.1996
380,22.16,+0.9,Marion Jones,USA,12.10.75,Stockholm,07.07.1997
380,22.16,+0.2,Allyson Felix,USA,18.11.85,Helsinki,12.08.2005
380,22.16,+1.9,Elaine Thompson-Herah,JAM,28.06.92,Eugene,28.05.2016
380,22.16,-0.5,Marie-Josée Ta Lou,CIV,18.11.88,Lausanne,06.07.2017
380,22.16,+0.9,Jenna Prandini,USA,20.11.92,London,22.07.2018
380,22.16,+0.1,Shaunae Miller-Uibo,BAH,15.04.94,Ostrava,09.09.2018
380,22.16,+1.3,Anglerne Annelus,USA,10.01.97,Austin,08.06.2019
380,22.16,+0.5,Dina Asher-Smith,GBR,04.12.95,Ad-Dawhah,01.10.2019
380,22.16,+1.0,Brittany Brown,USA,18.04.95,Eugene,26.06.2022
380,22.16,-0.3,Cambrea Sturgis,USA,27.03.99,Eugene,26.06.2022
397,22.17,-1.0,Merlene Ottey,JAM,10.05.60,Knoxville,20.06.1982
397,22.17,±0.0,Marita Koch,GDR,18.02.57,Jena,13.05.1984
397,22.17,±0.0,Evelyn Ashford,USA,15.04.57,Viareggio,06.08.1986
397,22.17,+1.3,Gwen Torrence,USA,12.06.65,Seoul,29.09.1988
397,22.17,+0.4,Irina Privalova,RUS,12.11.68,Lausanne,07.07.1993
397,22.17A,-2.3,Zhanna Block,UKR,06.07.72,Monachil,09.07.1997
397,22.17,+0.1,Merlene Ottey,JAM,10.05.60,Köln,24.08.1997
397,22.17,+1.8,Inger Miller,USA,12.06.72,Sevilla,25.08.1999
397,22.17,+0.6,Sanya Richards-Ross,USA,26.02.85,Stuttgart,09.09.2006
397,22.17,-0.3,Shelly-Ann Fraser-Pryce,JAM,27.12.86,Moskva,16.08.2013
397,22.17,+1.3,Sha'Carri Richardson,USA,25.03.00,Austin,08.06.2019
397,22.17,+0.7,Gabrielle Thomas,USA,07.12.96,Austin,27.03.2021
397,22.17,+0.2,Tamara Clark,USA,09.01.99,Eugene,12.06.2021
410,22.18,+0.4,Marita Koch,GDR,18.02.57,Stuttgart,22.08.1978
410,22.18,+0.7,Evelyn Ashford,USA,15.04.57,Roma,04.09.1981
410,22.18,+1.9,Heike Drechsler,GER,16.12.64,Karl-Marx-Stadt,21.06.1987
410,22.18,+1.2,Pam Marshall,USA,16.08.60,Roma,03.09.1987
410,22.18,+0.3,Merlene Ottey,JAM,10.05.60,Lausanne,08.07.1992
410,22.18,-0.6,Dannette Young,USA,06.10.64,Atlanta,23.06.1996
410,22.18,+0.9,Galina Malchugina,RUS,17.12.62,Sankt Peterburg,04.07.1996
410,22.18,+0.5,Merlene Frazer,JAM,27.12.73,Sevilla,25.08.1999
410,22.18,+1.1,Veronica Campbell-Brown,JAM,16.05.82,Kingston,27.06.2004
410,22.18,+0.8,Allyson Felix,USA,18.11.85,Athínai,25.08.2004
410,22.18,+2.0,Allyson Felix,USA,18.11.85,Carson,20.05.2007
410,22.18,+1.5,Tori Bowie,USA,27.08.90,Eugene,30.05.2014
410,22.18,+1.9,Dezerea Bryant,USA,27.04.93,Eugene,13.06.2015
410,22.18,+0.9,Shericka Jackson,JAM,16.07.94,Gold Coast,12.04.2018
410,22.18,+1.3,Dina Asher-Smith,GBR,04.12.95,Stockholm,30.05.2019
410,22.18,+0.7,Shaunae Miller-Uibo,BAH,15.04.94,Székesfehérvár,09.07.2019
410,22.18,+0.6,Shaunae Miller-Uibo,BAH,15.04.94,Nassau,27.06.2021
410,22.18A,+1.1,Beatrice Masilingi,NAM,10.04.03,Nairobi,21.08.2021
410,22.18,±0.0,Mujinga Kambundji,SUI,17.06.92,Bern,14.06.2022
410,22.18,+1.0,Kayla White,USA,24.09.96,Eugene,26.06.2022
430,22.19,+0.9,Bärbel Wöckel,GDR,21.03.55,Potsdam,11.05.1980
430,22.19,+1.5,Natalya Bochina,RUS,04.01.62,Moskva,30.07.1980
430,22.19,-1.6,Bärbel Wöckel,GDR,21.03.55,Zagreb,16.08.1981
430,22.19,+1.9,Bärbel Wöckel,GDR,21.03.55,Potsdam,10.06.1982
430,22.19,+1.5,Merlene Ottey,JAM,10.05.60,Helsinki,14.08.1983
430,22.19,+0.4,Bärbel Wöckel,GDR,21.03.55,Erfurt,03.06.1984
430,22.19,-1.1,Marita Koch,GDR,18.02.57,Zürich,21.08.1985
430,22.19,+0.8,Ewa Kasprzyk,POL,07.09.57,Slupsk,08.06.1986
430,22.19,+2.0,Silke Möller,GER,20.06.64,Berlin,13.09.1988
430,22.19,+0.3,Heike Drechsler,GER,16.12.64,Split,30.08.1990
430,22.19,-0.3,Merlene Ottey,JAM,10.05.60,Sevilla,30.05.1991
430,22.19,+0.7,Merlene Ottey,JAM,10.05.60,Sevilla,06.06.1992
430,22.19,-0.6,Irina Privalova,RUS,12.11.68,Barcelona,06.08.1992
430,22.19,+0.9,Irina Privalova,RUS,12.11.68,Oslo,22.07.1994
430,22.19,±0.0,Debbie Ferguson-McKenzie,BAH,16.01.76,Saint-Denis,03.07.1999
430,22.19,+0.8,Marion Jones,USA,12.10.75,Roma,07.07.1999
430,22.19,+0.6,Inger Miller,USA,12.06.72,Zürich,11.08.1999
430,22.19,+1.4,Allyson Felix,USA,18.11.85,Birmingham,20.08.2006
430,22.19,±0.0,Veronica Campbell-Brown,JAM,16.05.82,Beijing,20.08.2008
430,22.19,+1.9,Kimberlyn Duncan,USA,02.08.91,Des Moines,07.06.2012
430,22.19,+1.0,Aleksandra Fedoriva,RUS,13.09.88,Cheboksary,06.07.2012
430,22.19,-2.3,Elaine Thompson-Herah,JAM,28.06.92,Ad-Dawhah,05.05.2017
430,22.19,+0.9,Gabrielle Thomas,USA,07.12.96,London,22.07.2018
430,22.19,+0.7,Elaine Thompson-Herah,JAM,28.06.92,Kingston,09.08.2020
430,22.19A,+1.3,Beatrice Masilingi,NAM,10.04.03,Nairobi,20.08.2021
430,22.19,+0.6,Dina Asher-Smith,GBR,04.12.95,Zürich,09.09.2021
430,22.19,+0.6,Abby Steiner,USA,24.11.99,Bloomington,26.05.2022
430,22.19,+0.9,Jenna Prandini,USA,20.11.92,Eugene,26.06.2022
458,22.20,+1.5,Merlene Ottey,JAM,10.05.60,Moskva,30.07.1980
458,22.20,+1.2,Merlene Ottey,JAM,10.05.60,Zürich,24.08.1983
458,22.20A,+0.6,Merlene Ottey,JAM,10.05.60,San José,09.06.1984
458,22.20,-0.1,Grace Jackson,JAM,14.06.61,Los Angeles,09.08.1984
458,22.20,+1.7,Marita Koch,GDR,18.02.57,Berlin,20.08.1986
458,22.20A,+1.2,Florence Griffith-Joyner,USA,21.12.59,San José,26.06.1987
458,22.20,+0.7,Merlene Ottey,JAM,10.05.60,Linz,13.08.1992
458,22.20,-0.6,Marie-José Pérec,FRA,09.05.68,Zürich,19.08.1992
458,22.20,-0.5,Gwen Torrence,USA,12.06.65,Stuttgart,19.08.1993
458,22.20,-0.5,Irina Privalova,RUS,12.11.68,Stuttgart,19.08.1993
458,22.20,±0.0,Marie-José Pérec,FRA,09.05.68,Stuttgart,19.08.1993
458,22.20,+0.1,Gwen Torrence,USA,12.06.65,Monaco,09.09.1995
458,22.20,+0.3,Inger Miller,USA,12.06.72,Bruxelles,28.08.1998
458,22.20,±0.0,Debbie Ferguson-McKenzie,BAH,16.01.76,Manchester,29.07.2002
458,22.20,+2.0,Kim Gevaert,BEL,05.08.78,Bruxelles,09.07.2006
458,22.20,-0.4,Carmelita Jeter,USA,24.11.79,Monaco,22.07.2011
458,22.20,+0.4,Jenna Prandini,USA,20.11.92,Eugene,28.06.2015
458,22.20,-0.3,Allyson Felix,USA,18.11.85,Eugene,25.06.2021
458,22.20,+0.7,Gabrielle Thomas,USA,07.12.96,Tokyo,02.08.2021
477,22.21,+1.9,Irena Szewinska,POL,24.05.46,Potsdam,13.06.1974
477,22.21,±0.0,Kathy Cook,GBR,03.05.60,Nice,20.08.1984
477,22.21,+0.6,Merlene Ottey,JAM,10.05.60,Bruxelles,25.08.1989
477,22.21,-1.9,Merlene Ottey,JAM,10.05.60,Saint-Denis,22.06.1990
477,22.21,+0.9,Katrin Krabbe,GER,22.11.69,Linz,05.07.1991
477,22.21,-0.7,Irina Privalova,RUS,12.11.68,Zürich,07.08.1991
477,22.21,-2.4,Merlene Ottey,JAM,10.05.60,Tokyo,30.08.1991
477,22.21,±0.0,Gwen Torrence,USA,12.06.65,Barcelona,03.08.1992
477,22.21,+1.5,Irina Privalova,RUS,12.11.68,Rieti,28.08.1994
477,22.21,Merlene,Ottey,JAM,10.05.60,Pune,13.09.1994
477,22.21,+0.8,Allyson Felix,USA,18.11.85,Osaka,30.08.2007
477,22.21,+1.9,Jenna Prandini,USA,20.11.92,Eugene,13.06.2015
477,22.21,+1.9,Ariana Washington,USA,04.09.96,Eugene,11.06.2016
477,22.21,-0.1,Marie-Josée Ta Lou,CIV,18.11.88,Rio de Janeiro,17.08.2016
477,22.21,±0.0,Shaunae Miller-Uibo,BAH,15.04.94,Nassau,24.06.2017
477,22.21,+1.9,Elaine Thompson-Herah,JAM,28.06.92,Palo Alto,30.06.2019
477,22.21,-0.1,Favour Ofili,NGR,31.12.02,Oxford MS,12.05.2022
477,22.21,-0.2,Aminatou Seyni,NIG,24.10.96,Ostrava,31.05.2022
477,22.21,+1.2,Gabrielle Thomas,USA,07.12.96,Austin,28.04.2023
496,22.22,+0.3,Marlies Göhr,GDR,21.03.58,Potsdam,21.07.1984
496,22.22,+0.8,Marita Koch,GDR,18.02.57,Tokyo,14.09.1984
496,22.22,+1.6,Merlene Ottey,JAM,10.05.60,Walnut,31.05.1987
496,22.22,+0.3,Silke Möller,GER,20.06.64,Neubrandenburg,11.06.1987
496,22.22,+1.2,Galina Malchugina,RUS,17.12.62,Barcelona,03.08.1992
496,22.22,+1.0,Irina Privalova,RUS,12.11.68,Monaco,07.08.1993
496,22.22,+0.2,Galina Malchugina,RUS,17.12.62,Stuttgart,19.08.1993
496,22.22,±0.0,Irina Privalova,RUS,12.11.68,Bruxelles,19.08.1994
496,22.22,-0.9,Falilat Ogunkoya,NGR,05.12.68,Dakar,22.08.1998
496,22.22,-0.4,Marion Jones,USA,12.10.75,Oslo,30.06.1999
496,22.22,+0.6,Beverly McDonald,JAM,15.02.70,Sevilla,27.08.1999
496,22.22,+0.3,Rachelle Smith,USA,30.06.81,Carson,26.06.2005
496,22.22,+0.6,Sherone Simpson,JAM,12.08.84,Stuttgart,09.09.2006
496,22.22,±0.0,Allyson Felix,USA,18.11.85,Eugene,05.07.2008
496,22.22,-1.0,Veronica Campbell-Brown,JAM,16.05.82,Daegu,02.09.2011
496,22.22,+0.1,Kimberlyn Duncan,USA,02.08.91,Jacksonville,26.05.2012
496,22.22,+1.0,Sanya Richards-Ross,USA,26.02.85,Eugene,30.06.2012
496,22.22,+0.4,Dina Asher-Smith,GBR,04.12.95,Beijing,26.08.2015
496,22.22,±0.0,Allyson Felix,USA,18.11.85,Bruxelles,11.09.2015
496,22.22,+0.8,Dina Asher-Smith,GBR,04.12.95,London,11.08.2017
496,22.22,-0.2,Jenna Prandini,USA,20.11.92,Des Moines,24.06.2018
496,22.22,+0.9,Shericka Jackson,JAM,16.07.94,London,22.07.2018
496,22.22,-0.2,Shelly-Ann Fraser-Pryce,JAM,27.12.86,Kingston,23.06.2019
496,22.22,+0.9,Brittany Brown,USA,18.04.95,Ad-Dawhah,02.10.2019
496,22.22,+0.4,Shelly-Ann Fraser-Pryce,JAM,27.12.86,Tokyo,02.08.2021
496,22.22,-0.3,Brittany Brown,USA,18.04.95,Eugene,26.06.2022
522,22.23,+0.9,Florence Griffith-Joyner,USA,21.12.59,Indianapolis,19.06.1983
522,22.23,+0.6,Merlene Ottey,JAM,10.05.60,Sevilla,01.06.1988
522,22.23,-0.2,Dannette Young,USA,06.10.64,Monaco,02.08.1988
522,22.23,-0.3,Merlene Ottey,JAM,10.05.60,Villeneuve d'Ascq,25.06.1989
522,22.23,-1.0,Silke Möller,GER,20.06.64,Neubrandenburg,23.07.1989
522,22.23,+0.3,Galina Malchugina,RUS,17.12.62,Split,30.08.1990
522,22.23,-0.7,Irina Privalova,RUS,12.11.68,Sankt Peterburg,25.07.1994
522,22.23,-1.7,Merlene Ottey,JAM,10.05.60,London,09.09.1994
522,22.23,-0.5,Irina Privalova,RUS,12.11.68,Göteborg,09.08.1995
522,22.23,+0.8,Melinda Gainsford-Taylor,AUS,01.10.71,Stuttgart,13.07.1997
522,22.23,±0.0,Beverly McDonald,JAM,15.02.70,Edwardsville,22.05.1999
522,22.23A,+1.8,Carol Rodriguez,PUR,16.12.85,Provo,26.05.2006
522,22.23,-0.2,Sanya Richards-Ross,USA,26.02.85,Athínai,17.09.2006
522,22.23,+1.3,Debbie Ferguson-McKenzie,BAH,16.01.76,Stockholm,31.07.2009
522,22.23,+1.0,Carmelita Jeter,USA,24.11.79,Eugene,26.06.2011
522,22.23,+0.8,Allyson Felix,USA,18.11.85,Eugene,02.06.2012
522,22.23,+0.3,Kelly-Ann Baptiste,TTO,14.10.86,Port of Spain,23.06.2013
522,22.23,-0.8,Olivia Ekponé,USA,05.01.93,Lexington,18.05.2014
522,22.23,+1.5,Blessing Okagbare,NGR,09.10.88,Eugene,30.05.2014
522,22.23,-2.8,Tori Bowie,USA,27.08.90,New York City,13.06.2015
522,22.23,-0.3,Jeneba Tarmoh,USA,27.09.89,Monaco,17.07.2015
522,22.23,+0.7,Shaunae Miller-Uibo,BAH,15.04.94,Monaco,09.07.2021
522,22.23A,+1.1,Favour Ofili,NGR,31.12.02,Nairobi,21.08.2021
522,22.23,+2.0,Kynnedy Flannel,USA,12.07.00,Lubbock,15.05.2022
522,22.23,+1.8,Abby Steiner,USA,24.11.99,Miramar,08.04.2023
522,22.23,+0.8,Daryll Neita,GBR,29.08.96,Bydgoszcz,06.06.2023
548,22.24,+0.3,Gesine Walther,GDR,06.10.62,Dresden,03.07.1982
548,22.24,-0.3,Valerie Brisco,USA,06.07.60,Stockholm,01.07.1986
548,22.24,+1.3,Pam Marshall,USA,16.08.60,Irvine,14.06.1987
548,22.24,+0.1,Maya Azarashvili,GEO,06.04.64,Kyiv,16.08.1988
548,22.24,+0.3,Grace Jackson,JAM,14.06.61,Seoul,28.09.1988
548,22.24,+1.2,Merlene Ottey,JAM,10.05.60,Saint-Denis,23.06.1989
548,22.24,-1.6,Merlene Ottey,JAM,10.05.60,London,12.07.1991
548,22.24,+0.6,Dannette Young,USA,06.10.64,Monaco,03.08.1991
548,22.24,+0.8,Carlette Guidry,USA,04.09.68,New Orleans,28.06.1992
548,22.24,+0.3,Gwen Torrence,USA,12.06.65,Tokyo,15.09.1994
548,22.24,+1.6,Gwen Torrence,USA,12.06.65,Lausanne,05.07.1995
548,22.24,-0.1,Gwen Torrence,USA,12.06.65,Stockholm,10.07.1995
548,22.24,-0.4,Marie-José Pérec,FRA,09.05.68,Atlanta,31.07.1996
548,22.24,+0.3,Merlene Ottey,JAM,10.05.60,Atlanta,01.08.1996
548,22.24,+0.4,Juliet Cuthbert,JAM,09.04.64,Atlanta,01.08.1996
548,22.24,-0.6,Marion Jones,USA,12.10.75,New Orleans,21.06.1998
548,22.24,+0.8,Beverly McDonald,JAM,15.02.70,Villeneuve d'Ascq,11.07.1998
548,22.24,+0.2,Inger Miller,USA,12.06.72,Bruxelles,03.09.1999
548,22.24,-0.3,Zhanna Block,UKR,06.07.72,Bruxelles,30.08.2002
548,22.24,+0.5,Debbie Ferguson-McKenzie,BAH,16.01.76,Berlin,20.08.2009
548,22.24,+1.5,Kimberlyn Duncan,USA,02.08.91,Des Moines,11.06.2011
548,22.24,+1.8,Carmelita Jeter,USA,24.11.79,Eugene,26.06.2011
548,22.24,-0.5,Murielle Ahouré-Demps,CIV,23.08.87,Monaco,19.07.2013
548,22.24,+1.9,Kamaria Brown,USA,21.12.92,Eugene,13.06.2015
548,22.24,+1.9,Kyra Jefferson,USA,23.09.94,Eugene,13.06.2015
548,22.24,+0.4,Shaunae Miller-Uibo,BAH,15.04.94,Birmingham,18.08.2019
548,22.24,+1.3,Dezerea Bryant,USA,27.04.93,Eugene,26.06.2021
548,22.24,+0.1,Cambrea Sturgis,USA,27.03.99,Eugene,25.06.2022
548,22.24,+1.9,Favour Ofili,NGR,31.12.02,Eugene,18.07.2022
577,22.25,+1.1,Marita Koch,GDR,18.02.57,Ostrava,06.06.1979
577,22.25,+1.3,Bärbel Wöckel,GDR,21.03.55,Cottbus,26.06.1982
577,22.25,±0.0,Kathy Cook,GBR,03.05.60,Zürich,22.08.1984
577,22.25,+0.7,Gwen Torrence,USA,12.06.65,Seoul,28.09.1988
577,22.25,+1.3,Cathy Freeman,AUS,16.02.73,Victoria,26.08.1994
577,22.25,-0.7,Merlene Ottey,JAM,10.05.60,Göteborg,10.08.1995
577,22.25,-0.6,Inger Miller,USA,12.06.72,Atlanta,23.06.1996
577,22.25,-0.6,Gwen Torrence,USA,12.06.65,Atlanta,23.06.1996
577,22.25A,-0.6,Falilat Ogunkoya,NGR,05.12.68,Johannesburg,11.09.1998
577,22.25,+1.8,Andrea Philipp,GER,29.07.71,Sevilla,25.08.1999
577,22.25,+0.7,Sanya Richards-Ross,USA,26.02.85,Gateshead,11.06.2006
577,22.25,+1.1,Simone Facey,JAM,07.05.85,Kingston,29.06.2008
577,22.25,+0.4,Blessing Okagbare,NGR,09.10.88,Glasgow,31.07.2014
577,22.25,-0.3,Blessing Okagbare,NGR,09.10.88,Monaco,17.07.2015
577,22.25,-0.2,Dafne Schippers,NED,15.06.92,Gainesville,22.04.2016
577,22.25,+1.9,Deajah Stevens,USA,19.05.95,Eugene,11.06.2016
577,22.25,-0.6,Tori Bowie,USA,27.08.90,Eugene,10.07.2016
577,22.25,+0.8,Michelle-Lee Ahye,TTO,10.04.92,Rio de Janeiro,16.08.2016
577,22.25,-0.2,Marie-Josée Ta Lou,CIV,18.11.88,Monaco,21.07.2017
577,22.25,+0.6,Lynna Irby-Jackson,USA,06.12.98,Knoxville,13.05.2018
577,22.25,+0.9,Dina Asher-Smith,GBR,04.12.95,London,22.07.2018
577,22.25,+0.7,Marie-Josée Ta Lou,CIV,18.11.88,Monaco,09.07.2021
577,22.25,+0.9,Kynnedy Flannel,USA,12.07.00,Eugene,09.06.2022
577,22.25,+1.3,Elaine Thompson-Herah,JAM,28.06.92,Roma,09.06.2022
601,22.26,+0.9,Natalya Bochina,RUS,04.01.62,Moskva,28.07.1980
601,22.26,±0.0,Natalya Bochina,RUS,04.01.62,Nice,17.08.1980
601,22.26,±0.0,Jarmila Kratochvílová,CZE,26.01.51,Frankfurt,05.07.1981
601,22.26,+1.2,Kathy Cook,GBR,03.05.60,Zürich,24.08.1983
601,22.26,±0.0,Valerie Brisco,USA,06.07.60,Zürich,22.08.1984
601,22.26,±0.0,Evelyn Ashford,USA,15.04.57,London,11.07.1986
601,22.26,-1.4,Valerie Brisco,USA,06.07.60,Zürich,13.08.1986
601,22.26,+1.6,Gwen Torrence,USA,12.06.65,Indianapolis,22.07.1988
601,22.26,±0.0,Dannette Young,USA,06.10.64,Köln,21.08.1988
601,22.26,-0.3,Marie-José Pérec,FRA,09.05.68,Dijon,15.06.1991
601,22.26,+1.2,Carlette Guidry,USA,04.09.68,Barcelona,03.08.1992
601,22.26,-0.1,Inger Miller,USA,12.06.72,Zürich,14.08.1996
601,22.26,+0.2,Merlene Ottey,JAM,10.05.60,Athínai,07.08.1997
601,22.26,±0.0,Christine Arron,FRA,13.09.73,Saint-Denis,03.07.1999
601,22.26,-0.5,Inger Miller,USA,12.06.72,Monaco,04.08.1999
601,22.26,+1.1,Beverly McDonald,JAM,15.02.70,Sevilla,24.08.1999
601,22.26,+1.8,Beverly McDonald,JAM,15.02.70,Sevilla,25.08.1999
601,22.26,+0.6,Merlene Frazer,JAM,27.12.73,Sevilla,27.08.1999
601,22.26,+0.6,Andrea Philipp,GER,29.07.71,Sevilla,27.08.1999
601,22.26,+1.2,Veronica Campbell-Brown,JAM,16.05.82,Budapest,30.07.2011
601,22.26,-0.5,Tiffany Townsend,USA,24.06.89,Monaco,19.07.2013
601,22.26,+0.5,Kyra Jefferson,USA,23.09.94,Jacksonville,30.05.2015
601,22.26,+1.8,Kyra Jefferson,USA,23.09.94,Eugene,11.06.2015
601,22.26,-0.1,Candyce McGrone,USA,24.03.89,Beijing,27.08.2015
601,22.26,±0.0,Elaine Thompson-Herah,JAM,28.06.92,Bruxelles,11.09.2015
601,22.26,+0.3,Tori Bowie,USA,27.08.90,Nassau,16.04.2016
601,22.26,-1.3,Felicia Brown,USA,27.10.93,Tuscaloosa,14.05.2016
601,22.26,+1.1,Dina Asher-Smith,GBR,04.12.95,Ad-Dawhah,03.05.2019
601,22.26,+1.2,Mujinga Kambundji,SUI,17.06.92,Basel,24.08.2019
601,22.26,±0.0,Cambrea Sturgis,USA,27.03.99,Jacksonville,29.05.2021
601,22.26,-0.2,Mujinga Kambundji,SUI,17.06.92,Tokyo,02.08.2021
601,22.26,+0.1,Mujinga Kambundji,SUI,17.06.92,Tokyo,02.08.2021
601,22.26,+2.0,Kevona Davis,JAM,20.12.01,Lubbock,15.05.2022
601,22.26,+0.9,Anavia Battle,USA,28.03.99,Eugene,09.06.2022
601,22.26,+0.9,Abby Steiner,USA,24.11.99,Eugene,18.07.2022
601,22.26,+1.1,Shelly-Ann Fraser-Pryce,JAM,27.12.86,Eugene,18.07.2022
601,22.26,+0.6,Abby Steiner,USA,24.11.99,Eugene,21.07.2022
638,22.27,-1.1,Evelyn Ashford,USA,15.04.57,Zürich,15.08.1979
638,22.27,±0.0,Bärbel Wöckel,GDR,21.03.55,Frankfurt,05.07.1981
638,22.27,+0.5,Jarmila Kratochvílová,CZE,26.01.51,Budapest,29.07.1981
638,22.27,+1.2,Florence Griffith-Joyner,USA,21.12.59,Zürich,24.08.1983
638,22.27,+1.0,Florence Griffith-Joyner,USA,21.12.59,Los Angeles,09.08.1984
638,22.27,+1.2,Elvira Barbashina,UZB,25.02.63,Moskva,08.07.1986
638,22.27,-0.8,Grace Jackson,JAM,14.06.61,Nice,10.07.1988
638,22.27,+1.8,Heike Drechsler,GER,16.12.64,Seoul,29.09.1988
638,22.27,-0.8,Gwen Torrence,USA,12.06.65,New Orleans,27.06.1992
638,22.27,+0.8,Merlene Ottey,JAM,10.05.60,Bratislava,01.06.1993
